index,action,diff_max,frac_tokens_changed
361,sleep 1.00s,1.96688,0.39062
3824,sleep 1.00s,0.28512,0.2627
3141,sleep 1.00s,2.13751,0.1084
732,sleep 1.00s,2.13751,0.08984
740,sleep 1.00s,2.13751,0.08496
173,sleep 1.00s,0.39242,0.06152
2864,sleep 0.10s,1.34865,0.0127
923,sleep 1.00s,1.93177,0.01172
553,sleep 1.00s,0.86506,0.00391
1354,sleep 1.00s,0.69102,0.00391
4017,sleep 1.00s,0.86506,0.00391
4808,"sleep 1.00s; click on item 38 (div ""OVERVIEW"")",2.04444,0.00293
5849,sleep 10.00s,0.97973,0.00195
2378,sleep 1.00s,0.29384,0.00098
3432,sleep 1.00s,0.29384,0.00098
3433,sleep 1.00s,0.29384,0.00098
3696,sleep 1.00s,0.27468,0.00098
4291,sleep 1.00s,0.32509,0.00098
7513,sleep 5.00s,0.32509,0.00098
